ID,period,price,unitp,area,room,bath,terrace,aircon,parking,north,south,east,west,swimpool,garden,duplex,studio,topfloor,conyr,maxfloor,dcount,quality,newdev,dist_city_centre,dist_metro,long,lat
A17131721456712436629,201809,262000,4366.666667,60,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1905,5,21,5,0,0.886774607,0.078883766,-3.701777152,40.40877278
A7141282023181921260,201812,220000,3928.571429,56,2,1,0,0,0,1,1,0,1,0,0,0,0,0,1900,5,15,4,0,0.583483904,0.12839504,-3.7007018,40.41190545
A4941049805091423704,201809,413000,5036.585366,82,2,2,1,1,0,1,1,1,1,0,0,1,0,0,1900,6,28,5,0,1.13621151,0.282120753,-3.697909275,40.40741781
A5358361681168715383,201809,461000,3179.310345,145,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1970,5,16,5,0,1.02271701,0.392873869,-3.706491275,40.40763596
A7843997030974811242,201809,300000,3846.153846,78,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1900,6,14,4,0,0.865739663,0.106682969,-3.700215185,40.40930478
A9659222287466706064,201812,291000,3730.769231,78,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1960,4,5,5,0,0.79523235,0.311145307,-3.704365353,40.40945975
A4503815687460985606,201803,439000,4877.777778,90,2,2,1,1,0,0,0,0,0,0,0,1,0,0,1915,6,28,5,0,1.135701019,0.283956196,-3.697874107,40.40743604
A10214161620517113057,201812,125000,3906.25,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1981,5,21,4,0,0.577800848,0.234967865,-3.702089009,40.4115637
A5936519147094551114,201809,587000,2863.414634,205,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1915,4,11,4,0,0.644210418,0.181007086,-3.703966866,40.41080453
A7401605895627696399,201809,437000,5462.5,80,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1932,6,13,5,0,0.743565812,0.067218839,-3.707925832,40.41069927
A3492443550732559273,201809,162000,3951.219512,41,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1930,5,46,4,0,0.923237882,0.362733368,-3.705993197,40.40846784
A44440547837715358,201809,226000,4264.150943,53,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1930,7,33,5,0,1.032584542,0.293171888,-3.70455531,40.40733246
A4081283568090723907,201809,628000,4186.666667,150,4,3,1,1,0,0,0,0,1,0,0,0,0,0,1968,5,36,6,0,1.093219253,0.136343794,-3.710291127,40.40810818
A3312287484964095844,201812,91000,3640,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1929,6,18,5,0,1.033810943,0.196139136,-3.70977667,40.40849873
A3132211198990839310,201809,380000,4042.553191,94,2,2,0,1,0,1,0,0,1,0,0,0,0,0,1900,4,44,5,0,0.874719582,0.255171903,-3.703909922,40.40873279
A13836628761694500171,201809,172000,3822.222222,45,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1922,6,36,2,0,1.112357781,0.228288732,-3.698651518,40.40739531
A2272119931863307800,201809,291000,4217.391304,69,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1910,4,14,5,0,0.642953192,0.167537156,-3.705418041,40.41094884
A9346402488168166846,201812,173000,3931.818182,44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1890,4,15,4,0,0.838943057,0.217170601,-3.703371197,40.4090604
A5467226510235320588,201812,508000,5347.368421,95,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1900,5,12,5,0,0.527650548,0.088203923,-3.705641843,40.41206459
A16595371914174713086,201809,113000,4035.714286,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1920,5,30,4,0,0.864277954,0.14348645,-3.702532598,40.40888531
A3878705493527785096,201812,937000,3748,250,5,6,0,1,0,0,0,0,0,0,0,0,0,0,1880,5,14,3,0,0.530803373,0.118980907,-3.700777745,40.41240949
A5637320582957807994,201812,194000,5388.888889,36,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1900,6,39,4,0,1.08321779,0.155442438,-3.70089957,40.40711143
A12993630365829656402,201809,171000,4275,40,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1890,6,21,5,0,1.173219453,0.17623838,-3.701208684,40.40623568
A7401974945146834523,201812,353000,3460.784314,102,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1975,6,65,5,0,0.968567729,0.282576097,-3.704148672,40.40789349
A6621250179641576568,201812,624000,5426.086957,115,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1935,5,9,4,0,0.26147403,0.33188331,-3.701991761,40.41468142
A4559306733197810594,201809,661000,5084.615385,130,2,2,0,1,0,0,1,1,0,0,0,0,0,0,1900,7,26,2,0,0.816178824,0.473475759,-3.694392564,40.41498857
A4343432177261002769,201809,833000,4760,175,2,2,1,1,0,0,0,1,0,0,0,1,0,0,1890,3,13,4,0,0.223724606,0.372527846,-3.701844255,40.41523186
A6711774973699692079,201803,1243000,9944,125,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1910,5,16,1,0,0.640892335,0.389771579,-3.696422993,40.41529167
A17545406270195406177,201803,1553000,3466.517857,448,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1880,5,10,5,0,0.57648474,0.193684781,-3.698011176,40.41385867
A16090695871621385387,201812,992000,5511.111111,180,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1902,7,20,2,0,1.217231031,0.113362377,-3.692465963,40.40986496
A4862128619196633170,201812,693000,3686.170213,188,4,2,0,1,0,1,1,0,0,0,0,0,0,0,1860,6,10,3,0,0.65035664,0.092040267,-3.698291944,40.41251462
A2929437207677519290,201809,285000,4913.793103,58,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1925,4,5,3,0,0.198924461,0.287685196,-3.701523511,40.41612571
A14086734552789661867,201812,1564000,6489.626556,241,3,3,1,1,0,0,0,0,0,0,0,0,0,1,1900,6,37,1,0,0.676241479,0.286492228,-3.695813092,40.41672778
A3380769016562931797,201812,422000,4688.888889,90,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1905,7,14,6,0,1.056149051,0.233484001,-3.694695927,40.41010384
